bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-c01_T1w	0.7387797152449687	0.8877337781475189	0.9633914812631694	14.295849800109863	3.294536666666667	3.42013	3.359	3.10448	0.18487392272542907	0.42128557179400045	0.3938405054805705	0.8067355751991272	0.14155101776123047		0.0	25.80106199479149	12.339922751245764	16.279074757165674	176	256	256	3.6616452207721513	9.89014291075874	12.9513931773005	25.30239140037061	1.9725296844246776	3.453337337102518	3.186524806477067	4.133707397904004	1.0	1.0	1.0	0.0	158.48368506099084	0.0	0.0	285725.0	0.0	0.0	160.24227580186422	6.2629274999756905	128.70756805358047	469.0137634277344	477.173583984375	12926.0	258.95796966552734	652.7743682861328	130.31167602539062	-0.2674776894338464	84.86848006991039	840.374755859375	835.3949584960938	32747.0	706.5288452148437	987.9158813476562	84.46614074707031	0.6723585002927925	36.725759990332506	1001.9248657226562	999.98291015625	240052.0	940.3884460449219	1070.19873046875	39.52119827270508	0.16478762030601501	0.418527752161026	0.4874586760997772	0.8984239540530596
sub-c02_T1w	0.45081622935390536	1.2783480446670565	0.9596037714895004	15.137598037719727	3.2547099999999998	3.30833	3.4731	2.9827	0.17422197090119484	0.42366071652523074	0.4021173125735744	0.8434699773788452	0.09911522269248962		0.0	29.010893108209096	13.079744358101038	16.90426591326542	176	256	256	3.0741908215731604	12.682144276559589	12.877735231242411	22.876870595594486	1.5672499260907051	2.7558213563060696	2.630119210633787	3.5672863495045863	1.0	1.0	1.0	0.0	183.64544933187526	0.0	0.0	281896.0	0.0	0.0	161.37264803476012	1.4838078017348026	168.15418454143935	425.076171875	439.3258056640625	8629.0	213.212890625	629.7824096679689	142.89950561523438	-0.01779307985974743	61.07092274390583	771.2224731445312	772.5018310546875	33096.0	668.5273895263672	868.6837310791016	60.91163635253906	0.3420386140200389	41.47485595777036	1001.4354858398438	999.96875	240171.0	931.9242553710938	1076.2567749023438	43.7108154296875	0.17972664535045624	0.4131260812282562	0.48900488018989563	0.9017939516332345
sub-c03_T1w	0.3493554337587762	1.5053980970508796	0.9552115269421821	11.746782302856445	3.1210066666666663	3.28443	3.19916	2.87943	0.16859198450955945	0.4709307822382182	0.36047723325222236	0.9942710399627686	0.11405867040157314		0.0	32.4040542526968	13.317244420324265	19.717497779950023	176	256	256	2.9681728676934847	13.535913883432483	12.471064323641137	20.909106219797444	1.934286590638832	3.1569444577842987	3.1444021971494323	4.341975543025165	1.0	1.0	1.0	0.0	150.8814168786896	0.0	0.0	199996.0	0.0	0.0	166.41843508553086	25.796928267927843	134.77346436483785	422.57440185546875	445.4765625	8977.0	216.24054565429688	589.8738281249999	150.07608032226562	0.053246082310392406	52.960136644853364	726.9276733398438	727.0612182617188	28741.0	637.1702270507812	814.6226806640625	53.71255874633789	1.0069730033804865	42.385601198746286	1001.0960693359375	999.980224609375	162278.0	924.1857696533203	1080.9548034667969	47.82495880126953	0.17762736976146698	0.46130236983299255	0.4968814253807068	0.8930740213178808
sub-c04_T1w	0.42164601683649205	1.4321845757506866	0.9618972486483931	5.451930522918701	3.242126666666666	3.3297	3.37396	3.02272	0.16906552796951857	0.4481334721642403	0.3828009998662411	1.0134937763214111	0.12385683059692376		0.0	30.03922195968184	12.740208499969754	17.571385174786553	176	256	256	3.067724964704089	13.054120392810242	13.037621579531086	22.99101938107893	1.4605251634103857	2.8481761952270865	2.6777094850136494	3.7244270964034762	1.0	1.0	1.0	0.0	175.89869409692108	0.0	0.0	236150.0	0.0	0.0	147.17891018475999	4.011707518626926	160.75529002276917	396.6487121582031	392.138916015625	11301.0	217.7364044189453	585.672607421875	127.82161712646484	0.0779276717160231	59.029901440292925	763.3602294921875	764.7117309570312	32563.0	666.3052001953125	856.8107543945313	58.57920455932617	0.6121749576158524	40.16911812134906	1001.3998413085938	999.9778442382812	192286.0	932.1229095458984	1075.9005126953125	43.49416732788086	0.18712276220321655	0.4439745843410492	0.4957435131072998	0.9021888184795416
sub-c05_T1w	0.38015407956517483	1.713630623861076	0.946825926369817	13.274626731872559	3.334723333333333	3.42212	3.51591	3.06614	0.17709053158386628	0.4461573135042839	0.3767521549118498	1.0096611976623535	0.12158957123756398		0.0	29.222132312962504	13.179404699690496	18.719385071720943	176	256	256	3.374716300162063	11.089160039612736	12.242283608884302	22.262974486878107	1.918020371485166	3.323152442828121	3.2933171234462484	4.638778556025458	1.0	1.0	1.0	0.0	141.2255181661405	0.0	0.0	230095.0	0.0	0.0	145.6009274412761	3.013835655609575	117.68374549719019	383.7078552246094	413.46112060546875	11386.0	183.53982543945312	543.410888671875	122.51191711425781	-0.12093000088750605	65.80839063608258	715.08349609375	716.3606567382812	26957.0	606.3483642578125	819.26123046875	64.59888458251953	0.47520964471152505	42.00522287687811	1000.0592651367188	999.9656982421875	191752.0	925.9992889404297	1073.965673828125	44.91596984863281	0.17564266920089722	0.4402132034301758	0.4937954246997833	0.9054971209986329
sub-c06_T1w	0.3926859183596294	1.6022882172874575	0.9496503059161289	20.934770584106445	3.395213333333333	3.56481	3.45261	3.16822	0.18222192880736507	0.4218619324550874	0.39591613873754755	0.9104299545288086	0.22931501269340515		0.0	18.015887877944913	8.593566850190877	11.413628547291744	176	229	200	3.7392377191338477	10.124903325036177	12.04356856103995	22.266564638949827	2.7321482187995496	4.204110912382091	4.251595680236339	5.818527909527378	1.0	1.0	1.0	0.0	112.59165103891362	0.0	0.0	275949.0	0.0	0.0	151.2474607031761	32.709919521631285	79.80565229756783	450.9842529296875	469.546630859375	9834.0	220.78874588012695	588.0515716552734	125.56643676757812	0.11133282464564287	68.12631396536852	724.0884399414062	722.5179443359375	18661.0	607.6788330078125	846.5269165039062	71.35856628417969	1.021400564383372	40.82576503288384	1000.0104370117188	999.971435546875	247454.0	926.9052215576172	1072.678076171875	44.90901184082031	0.16260823607444763	0.43860676884651184	0.48255419731140137	0.8855352614984277
sub-c07_T1w	0.40335921584400297	1.4999876407444668	0.9553490942166176	5.89735221862793	3.1948566666666665	3.29309	3.31691	2.97457	0.17406734414384764	0.4215899069214908	0.4043427489346616	0.8549970984458923	0.19199365377426147		0.0	15.744230261577295	7.2081519387299515	9.352834656882308	176	208	147	3.0760989340875686	10.086182056793676	11.906828126076029	22.55820338734684	1.7340103527421877	2.926261243580724	2.8996977610132126	4.038821686716725	1.0	1.0	1.0	0.0	162.20749305906725	0.0	0.0	207660.0	0.0	0.0	163.0955409565959	7.701637620257481	140.3206897003921	401.4942626953125	429.32965087890625	4629.0	181.57208251953125	579.2048095703125	139.554443359375	0.040707354077702096	70.5320586724047	725.8665771484375	724.523193359375	14130.0	609.22548828125	848.4673278808593	71.83070373535156	0.9005407427125354	40.578363026939364	999.9081420898438	999.9859008789062	188901.0	927.4638671875	1071.6766357421875	44.32902908325195	0.1759902983903885	0.4326370060443878	0.4893104135990143	0.8681144297611827
sub-c08_T1w	0.39800204849434395	1.4560668248519815	0.9538933741969416	24.77048683166504	3.2034033333333336	3.26074	3.35712	2.99235	0.1632551177742913	0.45336092579086357	0.38338395643484513	1.0905004739761353	0.16571282744407667		0.0	34.68535473258992	14.022977159462815	18.963025927869438	176	256	256	2.9461393199109622	13.939724565733572	12.859843314787677	21.693666058718495	1.6233738438679037	3.1629199099267087	2.986190640908273	4.172278168930205	1.0	1.0	1.0	0.0	157.018442934443	0.0	0.0	218181.0	0.0	0.0	150.07195017427526	11.271316470163127	141.17333981049154	415.24957275390625	389.0787353515625	13247.0	257.8130279541016	605.2778198242188	132.05894470214844	-0.12458347105678635	54.83745998623015	757.942626953125	758.0662231445312	21595.0	668.2043579101562	847.5157836914062	54.380462646484375	0.7274061049115503	41.44553691975792	999.007080078125	999.9820556640625	183339.0	920.0566284179688	1073.0076293945312	46.09545135498047	0.18239067494869232	0.4485405683517456	0.49758896231651306	0.9089130469313157
sub-c09_T1w	0.39670178648383086	1.2900597530778517	0.9501989680315754	1.3517991304397583	3.1867633333333334	3.29468	3.30045	2.96516	0.16414427626361303	0.4516219335982007	0.3842337901381863	1.0130701065063477	0.25599693357944475		0.0	22.592771773940772	9.113841585257548	12.171995304404621	176	241	197	2.0958422531248075	12.081180096069925	12.485990713101707	23.280949790110387	2.2523917108283946	5.130786727946122	4.729778780084572	6.806157901479199	1.0	1.0	1.0	0.0	96.25692290298629	0.0	0.0	254517.0	0.0	0.0	175.12873860828986	65.13166720820666	65.74183460997718	365.97406005859375	330.9361267089844	21311.0	243.8691635131836	577.94677734375	157.89755249023438	0.28899078128952826	58.194851802086774	757.9360961914062	753.8487548828125	23218.0	662.09208984375	870.4206481933592	62.39725875854492	0.7464032267494876	39.45586917809581	1000.005859375	1000.0052490234375	209988.0	929.4778228759766	1070.3728515625	42.953697204589844	0.1825585663318634	0.44087716937065125	0.49072736501693726	0.6247951368457317
sub-c10_T1w	0.42408621830711657	0.8845484002412222	0.9503104765837487	1.0773595571517944	3.13412	3.1935	3.27952	2.92934	0.1628584955643629	0.44082982743072535	0.3963116770049117	1.0409018993377686	0.2799632251262665		0.0	31.317469899263596	12.925781529315223	16.666457148427668	176	256	256	1.4017251358948877	11.798673562177271	12.196573188929483	23.38932086871629	1.9582084945476614	4.46790135922952	4.084524578703525	5.827463882333393	1.0	1.0	1.0	0.0	112.42218413446498	0.0	0.0	266046.0	0.0	0.0	252.02272384942094	29.868975640569765	86.49333391729117	394.4422607421875	336.0309143066406	15231.0	237.52781677246094	651.9467468261719	239.71881103515625	0.1889304311104274	60.9386251094176	771.365234375	766.6972045898438	19897.0	669.7173950195313	889.0890502929688	64.98001098632812	0.9436974084032062	38.001771579880085	997.3355102539062	999.999755859375	230918.0	921.6425506591797	1062.110040283203	42.754451751708984	0.18538875877857208	0.42813366651535034	0.4880722165107727	0.5789510349791313
sub-c11_T1w	0.4643235138399598	1.2953404809727207	0.9547735846234473	1.1283743381500244	3.688563333333333	3.65481	3.87778	3.5331	0.19783732416243138	0.4099942916840481	0.3921683841535205	1.0397127866744995	0.28001779019832607		0.0	23.50635197524548	11.867617054696462	14.99737565837941	176	256	256	3.1499241683530084	12.02227363730631	12.500590136813154	22.329572604780147	1.9326075875860114	3.7345150461074743	3.4850161973862974	4.787925958465405	1.0	1.0	1.0	0.0	136.83120056753162	0.0	0.0	299583.0	0.0	0.0	150.44831602042748	22.89730778827614	114.89891196301322	423.67425537109375	403.6427001953125	25207.0	262.86016540527345	614.1949279785156	128.14108276367188	0.19391852560980327	63.385452666014416	783.1092529296875	779.9874877929688	17412.0	681.7830871582031	895.4127349853516	64.87667083740234	1.2938622822832375	38.772436972574354	1000.0631103515625	1000.001953125	256964.0	926.7926086425781	1073.1741943359375	44.783660888671875	0.17002363502979279	0.4303281307220459	0.49421948194503784	0.6200774917888036
sub-c12_T1w	0.4423717345120517	0.923431139822156	0.9501885570735344	1.837783932685852	3.106786666666667	3.20973	3.2022	2.90843	0.17618214296595056	0.4359609306089973	0.3878569264250521	1.1464955806732178	0.2694051623344418		0.0	29.849379662296748	13.215333069595472	17.291647803753268	176	256	256	1.7977030993822263	11.656014888544124	12.70732038384039	24.66824316359482	1.9198753263201573	3.9818043947747053	3.6663283359922616	5.097305286881922	1.0	1.0	1.0	0.0	128.5257800177593	0.0	0.0	245646.0	0.0	0.0	223.6701203115673	22.747787081879682	107.34453152747616	424.4007873535156	376.6444396972656	19354.0	254.16430587768554	675.9613342285153	209.50885009765625	0.4308105513270206	60.855102047425376	788.3237915039062	781.1572265625	15221.0	690.2312622070312	914.4675903320312	67.01531982421875	0.9737055455718266	35.953918216483416	999.1705322265625	999.9981079101562	211071.0	930.6150817871094	1063.7838745117188	40.537776947021484	0.17567364871501923	0.4368085563182831	0.4850526452064514	0.5582417854809681
sub-c13_T1w	0.46544823452618395	0.9034848469372391	0.9595941566723141	2.3291778564453125	3.08461	3.22268	3.11833	2.91282	0.16033223227426108	0.4819784569562791	0.3576893107694598	1.0297589302062988	0.18818176984786983		0.0	31.73771957752523	12.18860650093227	18.221741842472923	176	256	256	2.1126617449186966	12.77539314941751	12.779544889270873	23.450579773476413	1.5085293597444542	2.622195407813341	2.4909005379997406	3.341976846441427	1.0	1.0	1.0	0.0	196.02950325075327	0.0	0.0	230150.0	0.0	0.0	226.3510522046172	44.25138882430452	182.1480075503182	463.0834045410156	451.3812255859375	11708.0	250.45480346679688	683.4059509277342	213.64610290527344	-0.048623554178695905	60.73280365275311	787.8134765625	784.6116943359375	33414.0	691.2236999511719	895.3922698974609	61.41493606567383	0.6593373631059531	39.511973510094926	1000.4896850585938	999.9842529296875	185028.0	931.6445526123047	1071.4930236816406	42.64208221435547	0.17289656400680542	0.4522641599178314	0.48451778292655945	0.8948756038516331
sub-c14_T1w	0.39497406138111774	0.9154888474692269	0.9524004524841537	1.1775319576263428	3.24428	3.391	3.30552	3.03632	0.1706997895576145	0.4394850032757562	0.3898152071666293	1.0290772914886475	0.22051543295383458		0.0	29.754695768226124	13.024411144213037	17.312991632241708	176	256	256	1.663988601242627	12.51968423872143	12.679946929278728	23.856167947872127	1.7852241731320675	3.319857194525958	3.1640858531014686	4.387176191646382	1.0	1.0	1.0	0.0	149.3289237395232	0.0	0.0	255319.0	0.0	0.0	255.35562483786563	26.01505121369762	132.09846410963496	459.8305358886719	406.91619873046875	12664.0	258.4961898803711	727.8802215576168	244.5330047607422	0.1460421493112527	58.82765437252193	758.4349975585938	756.7137451171875	18275.0	660.9086730957031	860.2085998535156	60.44026565551758	1.017601350278838	37.2616468517821	997.8021850585938	999.9937744140625	224380.0	924.0660949707031	1061.696795654297	41.91752624511719	0.17495810985565186	0.44376012682914734	0.5016344785690308	0.6069684259729726
sub-c15_T1w	0.4288076739629667	0.7805294568931354	0.9486500725890337	1.4178590774536133	3.14044	3.26247	3.20357	2.95528	0.17209753375627337	0.41967677265246794	0.4082256935912587	0.9757944941520691	0.2383137047290802		0.0	27.442403962691678	12.288987510384606	15.086562354249397	176	256	256	1.6511168494577535	12.255365462816016	12.648550417165211	24.039168939221863	1.7548509498898612	3.013074212148431	2.890674701392752	3.904098942139963	1.0	1.0	1.0	0.0	167.8070631950105	0.0	0.0	294043.0	0.0	0.0	282.49330286754383	24.01183734681441	152.05373435685186	479.2625732421875	449.4886779785156	17115.0	248.23458709716797	696.5565429687499	272.22515869140625	0.06841094220906774	60.113619956456446	774.8421630859375	771.7708129882812	15463.0	673.3888000488281	885.0380981445312	62.97208023071289	0.7943168212799869	37.75215254791306	998.7063598632812	999.9984741210938	261465.0	927.6961181640625	1064.27509765625	41.5986328125	0.17166262865066528	0.4147455096244812	0.4905599355697632	0.5573014349963047
